date,count_fin,total_fin,count_leader,total_leader,count_mg,total_mg,count_np,total_np,count_oc,total_oc,count_va,total_va,raw_van,tot_van
2015-01-31,51,1138,81,1022,0,76,6,1317,26,1914,13,1124,12,948
2015-02-28,23,1122,64,937,0,82,4,1200,19,1751,6,1152,11,1035
2015-03-31,20,1267,51,1104,0,66,4,1198,22,2028,4,1186,6,1101
2015-04-30,18,1334,62,1026,0,52,2,1010,28,2089,6,1148,6,1024
2015-05-31,38,1334,70,980,0,59,3,1206,15,1882,4,1146,4,988
2015-06-30,20,1234,89,968,0,72,0,1294,11,2044,1,1153,3,1145
2015-07-31,35,1187,114,906,0,53,13,1227,29,2101,14,1021,9,1020
2015-08-31,25,980,58,716,0,82,6,1053,30,1880,18,998,4,861
2015-09-30,35,1146,78,807,0,95,6,1313,25,2166,18,1138,9,936
2015-10-31,26,1339,74,831,3,153,8,1233,13,2269,10,1124,8,915
2015-11-30,20,1203,46,799,1,472,5,1097,10,2048,3,955,0,749
2015-12-31,25,1097,57,710,5,449,1,945,13,2104,8,897,1,741
2016-01-31,37,1069,46,771,5,446,7,923,32,2121,9,991,6,690
2016-02-29,24,1102,55,815,1,458,2,1052,27,2182,5,1123,3,872
2016-03-31,15,1195,62,956,2,490,2,1055,20,2236,6,1221,7,994
2016-04-30,21,1120,51,863,1,462,1,1008,14,2340,3,1149,7,1357
2016-05-31,11,1137,42,888,3,482,1,1121,16,2287,1,1044,4,1277
2016-06-30,21,1166,77,937,2,520,5,1120,23,2191,3,1120,12,1290
2016-07-31,19,1201,87,847,1,526,2,985,10,1926,5,985,4,1051
2016-08-31,20,951,57,831,2,582,2,990,27,2342,2,871,7,1033
2016-09-30,17,1067,50,853,1,605,5,1058,17,1905,3,1040,8,1191
2016-10-31,14,1059,57,836,0,663,3,1013,15,1874,3,1057,6,1224
2016-11-30,30,1117,69,777,0,523,3,1046,18,1950,3,1093,8,1176
2016-12-31,19,957,42,758,1,445,2,967,12,1726,3,906,4,1048
2017-01-31,25,945,32,856,3,504,3,943,16,1827,4,857,6,1100
2017-02-28,17,915,44,761,2,490,5,905,20,1729,6,878,10,1086
2017-03-31,17,1072,45,836,2,589,2,1018,16,1925,1,998,7,1151
2017-04-30,11,954,30,1593,1,477,0,941,12,1723,6,950,7,999
2017-05-31,23,943,48,2475,1,500,4,980,12,1792,2,964,10,1072
2017-06-30,13,972,66,2497,2,521,2,1086,27,2810,1,955,12,1008
2017-07-31,13,866,63,2371,0,442,0,992,11,3321,1,705,6,880
2017-08-31,13,692,77,2823,1,438,0,974,23,3208,3,734,3,884
2017-09-30,17,1047,70,2889,1,536,2,998,19,3679,10,1454,9,1338
2017-10-31,32,1495,53,2392,9,747,6,1167,40,4950,12,1899,17,1787
2017-11-30,46,1527,102,2889,3,590,2,1150,45,4935,12,1698,22,1722
2017-12-31,28,1464,71,2392,8,497,3,1022,31,4941,8,1593,20,1589
2018-01-31,33,1659,89,2714,4,590,3,1043,32,4991,19,1822,16,1785
2018-02-28,29,1667,85,2447,3,546,3,1051,32,3979,14,1806,16,1663
2018-03-31,26,2001,84,2694,4,677,5,1100,33,4981,15,1886,21,2064
2018-04-30,45,1819,97,2401,4,714,7,1083,36,4706,19,1867,37,1923
2018-05-31,32,1834,113,2525,5,816,12,1550,46,4985,21,2035,26,2018
2018-06-30,33,1780,87,2260,9,763,12,1644,40,4667,29,2151,27,1850
2018-07-31,26,1682,98,2200,4,706,6,1602,46,4987,21,1992,14,1704
2018-08-31,23,1418,68,2034,3,790,10,1562,39,4938,10,1975,11,1758
2018-09-30,33,1447,66,1839,6,934,11,1637,14,4603,24,1638,21,1575
2018-10-31,33,1481,83,2175,13,986,16,1637,48,4928,15,2028,21,1780
